f_datetime,temp_air,temp_soil,f_conc,PAR,turfID,type,f_start,f_end,f_fluxID,n_conc,ratio,flag,f_time,f_cut,Cm_est,a_est,b_est,tz_est,f_Cz,time_diff,f_Cm,f_a,f_b,f_tz,f_slope_tz,f_fit,f_fit_slope,f_start_z,volume
2022-07-28T23:47:46Z,7.36,10.71,444.28,2.29,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,24,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,445.22494142599385,446.15565545047383,2022-07-28T23:47:32Z,28
2022-07-28T23:47:47Z,NA,NA,444.51,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,25,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,445.9325823722158,447.0084724074846,2022-07-28T23:47:32Z,28
2022-07-28T23:47:48Z,NA,NA,444.39,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,26,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,446.6300429638154,447.8612893644954,2022-07-28T23:47:32Z,28
2022-07-28T23:47:49Z,NA,NA,445.68,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,27,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,447.31738794763135,448.71410632150616,2022-07-28T23:47:32Z,28
2022-07-28T23:47:50Z,NA,NA,445.45,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,28,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,447.9946816587137,449.566923278517,2022-07-28T23:47:32Z,28
2022-07-28T23:47:51Z,NA,NA,446.12,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,29,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,448.661988022943,450.4197402355278,2022-07-28T23:47:32Z,28
2022-07-28T23:47:52Z,NA,NA,446.27,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,30,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,449.3193705596327,451.27255719253856,2022-07-28T23:47:32Z,28
2022-07-28T23:47:53Z,NA,NA,447.2,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,31,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,449.96689238411466,452.1253741495494,2022-07-28T23:47:32Z,28
2022-07-28T23:47:54Z,NA,NA,447.37,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,32,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,450.60461621030856,452.97819110656013,2022-07-28T23:47:32Z,28
2022-07-28T23:47:55Z,NA,NA,448,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,33,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,451.2326043532749,453.83100806357095,2022-07-28T23:47:32Z,28
2022-07-28T23:47:56Z,7.36,10.73,448.24,1.83,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,34,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,451.8509187317516,454.6838250205817,2022-07-28T23:47:32Z,28
2022-07-28T23:47:57Z,NA,NA,448.23,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,35,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,452.4596208706752,455.5366419775925,2022-07-28T23:47:32Z,28
2022-07-28T23:47:58Z,NA,NA,449,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,36,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,453.05877190368426,456.3894589346033,2022-07-28T23:47:32Z,28
2022-07-28T23:47:59Z,NA,NA,449.15,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,37,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,453.6484325756091,457.2422758916141,2022-07-28T23:47:32Z,28
2022-07-28T23:48:00Z,NA,NA,449.23,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,38,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,454.22866324494447,458.09509284862486,2022-07-28T23:47:32Z,28
2022-07-28T23:48:01Z,NA,NA,449.79,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,39,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,454.7995238863057,458.9479098056357,2022-07-28T23:47:32Z,28
2022-07-28T23:48:02Z,NA,NA,450.49,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,40,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,455.3610740928713,459.8007267626464,2022-07-28T23:47:32Z,28
2022-07-28T23:48:03Z,NA,NA,450.8,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,41,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,455.9133730788086,460.6535437196573,2022-07-28T23:47:32Z,28
2022-07-28T23:48:04Z,NA,NA,451.12,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,42,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,456.4564796816835,461.506360676668,2022-07-28T23:47:32Z,28
